,jobtitle,company,city,state,country,language,formattedLocation,source,date,snippet,url,onmousedown,jobkey,sponsored,expired,indeedApply,formattedLocationFull,formattedRelativeTime,stations
563,"Manager, Data Science Analytics / Data Scientist Manager",LOCKHEED MARTIN CORPORATION,Grand Prairie,TX,US,en,"Grand Prairie, TX",Lockheed Martin Corporation,"Thu, 09 Jan 2020 05:21:12 GMT","Experience in operations analysis, <b>data</b> analytics, computer <b>science</b> or related field. Bachelor’s, Master’s or PhD degree in <b>Data</b> <b>Science</b>, Mathematics,…",http://www.indeed.com/viewjob?jk=212c194297a6c70d&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr0thcnl801,"indeed_clk(this,'6509');",212c194297a6c70d,False,False,False,"Grand Prairie, TX 75051",2 days ago,
564,Data Scientist,Enquizit Inc,Washington,DC,US,en,"Washington, DC",Enquizit Inc,"Wed, 08 Jan 2020 21:20:17 GMT","Proven experience in <b>data</b> modeling, ETL development, and <b>data</b> warehousing, or similar skills. Proven track record of successful communication of data…",http://www.indeed.com/viewjob?jk=b3742197fea52552&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr0thcnl801,"indeed_clk(this,'6509');",b3742197fea52552,False,False,True,"Washington, DC 20001",2 days ago,
565,Data Scientist,Intone Networks,Philadelphia,PA,US,en,"Philadelphia, PA",Indeed,"Wed, 08 Jan 2020 23:06:36 GMT","7+ continuous years of professional experience as a <b>Data</b> <b>Scientist</b>. To manipulate <b>data</b> and draw insights from large <b>data</b> sets. C, C++, Java, JavaScript, etc.",http://www.indeed.com/viewjob?jk=865fa5c6988e447b&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr0thcnl801,"indeed_clk(this,'6509');",865fa5c6988e447b,False,False,True,"Philadelphia, PA",2 days ago,
566,Data Scientist,Dezign Concepts LLC,McLean,VA,US,en,"McLean, VA",Dezign Concepts LLC,"Wed, 08 Jan 2020 17:41:13 GMT",Demonstrated experience with <b>data</b> <b>science</b> techniques or formal <b>data</b> <b>science</b> training. The <b>Data</b> <b>Scientist</b> shall compile <b>data</b> analysis and conduct needs…,http://www.indeed.com/viewjob?jk=476f56851b2b694d&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr0thcnl801,"indeed_clk(this,'6509');",476f56851b2b694d,False,False,True,"McLean, VA 22102",2 days ago,
567,"Associate Data Scientist, Supply Chain",Sysco,Houston,TX,US,en,"Houston, TX",SYSCO,"Thu, 09 Jan 2020 01:11:14 GMT","<b>Data</b> mining, cleaning and engineering: Identify necessary <b>data</b> elements and their sources, leverage appropriate tools to acquire and consolidate large volumes…",http://www.indeed.com/viewjob?jk=5b0625a19ee856fc&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr0thcnl801,"indeed_clk(this,'6509');",5b0625a19ee856fc,False,False,False,"Houston, TX",2 days ago,
568,DATA SCIENTIST,Choose Energy,Charlotte,NC,US,en,"Charlotte, NC",Choose Energy,"Thu, 09 Jan 2020 05:21:46 GMT","Expert knowledge of machine learning, predictive modeling, statistics and <b>data</b> <b>science</b> in general. Proficiency in one or multiple <b>data</b> <b>science</b> programming…",http://www.indeed.com/viewjob?jk=5f402ec3da2eb638&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr0thcnl801,"indeed_clk(this,'6509');",5f402ec3da2eb638,False,False,False,"Charlotte, NC",2 days ago,
569,Senior Data Scientist,Amiti Consulting Corp,Philadelphia,PA,US,en,"Philadelphia, PA",Indeed,"Thu, 09 Jan 2020 14:26:45 GMT","<b>Data</b> <b>Science</b>, Python, Machine Learning. 7+ continuous years of professional experience as a <b>Data</b> <b>Scientist</b>.*. Develop custom <b>data</b> models and algorithms to apply…",http://www.indeed.com/viewjob?jk=59d864004e2ba240&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr0thcnl801,"indeed_clk(this,'6509');",59d864004e2ba240,False,False,True,"Philadelphia, PA",2 days ago,
570,Data Science,Tekdoors Inc,Cedar Park,TX,US,en,"Cedar Park, TX",Simply Hired,"Wed, 08 Jan 2020 18:56:14 GMT","Ability to use <b>data</b> visualization tools to showcase <b>data</b> for stakeholders like PowerBI, Tableau. Experience using and developing <b>data</b> architectures.",http://www.indeed.com/viewjob?jk=af402046dc41865b&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr0thcnl801,"indeed_clk(this,'6509');",af402046dc41865b,False,False,True,"Cedar Park, TX",2 days ago,
571,Data Engineer/Scientist,"Modern Technology Solutions, Inc.",Cape Canaveral,FL,US,en,"Cape Canaveral, FL","Modern Technology Solutions, Inc.","Wed, 08 Jan 2020 23:23:35 GMT","As a <b>Data</b> Engineer/Scientist with MTSI, You will be responsible for developing and managing our organic capabilities for <b>data</b> <b>science</b> to support intel planning…",http://www.indeed.com/viewjob?jk=f5e6ef0acb7e9964&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr0thcnl801,"indeed_clk(this,'6509');",f5e6ef0acb7e9964,False,False,False,"Cape Canaveral, FL 32920",2 days ago,
572,Entry Level Data Analyst (STEM),PCS Global Tech,Poway,CA,US,en,"Poway, CA",Indeed,"Thu, 09 Jan 2020 14:38:21 GMT","BS or MS of degree in Computer <b>Science</b>, Information Technology, Engineering or related field is required (STEM). Must be open to relocation.",http://www.indeed.com/viewjob?jk=2023958c56fd3dd0&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr0thcnl801,"indeed_clk(this,'6509');",2023958c56fd3dd0,False,False,True,"Poway, CA",2 days ago,
573,"Data Scientist, Zoro",Zoro Tools,Buffalo Grove,IL,US,en,"Buffalo Grove, IL",W.W. Grainger,"Wed, 08 Jan 2020 20:32:51 GMT",Our <b>Data</b> <b>Scientists</b> are instrumental in transforming Zoro’s <b>data</b> into insights and actionable results that drive the business forward.,http://www.indeed.com/viewjob?jk=0da38911f913bfc8&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr0thcnl801,"indeed_clk(this,'6509');",0da38911f913bfc8,False,False,False,"Buffalo Grove, IL 60089",2 days ago,
574,Staff Data Scientist,Intuit,Mountain View,CA,US,en,"Mountain View, CA",Intuit,"Thu, 09 Jan 2020 13:12:14 GMT",3+ years experience with <b>data</b> <b>science</b> and/or software engineering. Perform hands-on <b>data</b> analysis and modeling with huge <b>data</b> sets.,http://www.indeed.com/viewjob?jk=c9d4a7cda520d051&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr0thcnl801,"indeed_clk(this,'6509');",c9d4a7cda520d051,False,False,False,"Mountain View, CA 94041",2 days ago,
575,Principal Data & Applied Scientist,Microsoft,Redmond,WA,US,en,"Redmond, WA",Microsoft,"Thu, 09 Jan 2020 13:03:18 GMT","We also offer many company-sponsored classes and conferences that focus on <b>data</b> <b>science</b>, ML, and engineering excellence. Here's a bit about us.",http://www.indeed.com/viewjob?jk=b615adb496984ba9&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",b615adb496984ba9,False,False,False,"Redmond, WA",2 days ago,
576,Data Scientist,Jacobs,Herndon,VA,US,en,"Herndon, VA",Jacobs,"Thu, 09 Jan 2020 02:01:13 GMT","Collaborating with an interdisciplinary team of <b>data</b> <b>scientists</b>, software engineers, dev ops engineers, and subject matter experts.",http://www.indeed.com/viewjob?jk=864138b721f2f548&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",864138b721f2f548,False,False,False,"Herndon, VA",2 days ago,
577,ASSOCIATE DATA SCIENTIST,Nike,Portland,OR,US,en,"Portland, OR",Nike,"Wed, 08 Jan 2020 20:07:27 GMT",In-depth knowledge of applied <b>data</b> <b>science</b>. Nike is seeking a <b>Data</b> <b>Scientist</b> to join our rapidly growing Direct Product <b>Sciences</b> team within the Consumer Direct…,http://www.indeed.com/viewjob?jk=a1725e8ae180d3f2&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",a1725e8ae180d3f2,False,False,False,"Portland, OR",2 days ago,
578,Data Scientist,AbbVie,,IL,US,en,"Lake County, IL",AbbVie,"Wed, 08 Jan 2020 21:08:09 GMT",<b>Data</b> analysis experience performing analyses and presenting of <b>data</b>. Prior experience in BI <b>data</b> warehouse projects.,http://www.indeed.com/viewjob?jk=05df08f51a263dcf&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",05df08f51a263dcf,False,False,False,"Lake County, IL",2 days ago,
579,Data Scientist,"Earth Resources Technology, Inc",Silver Spring,MD,US,en,"Silver Spring, MD","Earth Resources Technology, Inc","Wed, 08 Jan 2020 19:20:58 GMT","Experience using bathymetric <b>data</b>, a plus. BS in Computer <b>Science</b>, related degree, or equivalent. Creating a geoJSON using the XYTZ <b>data</b> and submit a POST…",http://www.indeed.com/viewjob?jk=d1c3ac5e1b2be29a&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",d1c3ac5e1b2be29a,False,False,False,"Silver Spring, MD 20910",2 days ago,
580,Data Scientist,PNC Financial Services Group,Pittsburgh,PA,US,en,"Pittsburgh, PA",PNC Financial Services Group,"Thu, 09 Jan 2020 00:31:25 GMT","Participates in the <b>data</b> gathering, <b>data</b> processing and <b>data</b> mining of large and complex datasets. May partner with <b>Data</b> Architects, <b>Data</b> Analysts, Data…",http://www.indeed.com/viewjob?jk=43b892942d7a0363&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",43b892942d7a0363,False,False,False,"Pittsburgh, PA 15233",2 days ago,
581,Data Analyst,Newton Consulting Group,San Francisco,CA,US,en,"San Francisco, CA",Indeed,"Wed, 08 Jan 2020 19:28:13 GMT","Perform <b>data</b> analysis to understand the source <b>data</b>, its structure and underlying <b>data</b>. 3+ years of relevant experience in <b>data</b> analysis and/or <b>data</b> management.",http://www.indeed.com/viewjob?jk=0665414f456e42c1&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",0665414f456e42c1,False,False,True,"San Francisco, CA",2 days ago,
582,Data Scientist/Visualization Master,Intermedia Advertising,Los Angeles,CA,US,en,"Los Angeles, CA",InterMedia Advertising,"Wed, 08 Jan 2020 19:29:17 GMT",Use <b>data</b> to understand business patterns and trends. Analyze internal and external <b>data</b> through quantitative research. Advanced expertise in Microsoft Excel.,http://www.indeed.com/viewjob?jk=28916f837785fcce&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",28916f837785fcce,False,False,True,"Los Angeles, CA 90067",2 days ago,
583,Data Scientist II,AAA Texas,Coppell,TX,US,en,"Coppell, TX",AAA,"Thu, 09 Jan 2020 12:21:00 GMT","A <b>Data</b> <b>Scientist</b> II will be expected to understand the business goals/needs, utilize big <b>data</b> technology to ingest and analyze large amounts of <b>data</b>, and…",http://www.indeed.com/viewjob?jk=00f506090df3f7e8&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",00f506090df3f7e8,False,False,False,"Coppell, TX 75019",2 days ago,
584,Staff Data Scientist - Image and Video Analytics,Seagate Technology,Longmont,CO,US,en,"Longmont, CO",Seagate Technology,"Thu, 09 Jan 2020 01:48:11 GMT","Staff <b>Data</b> <b>Scientist</b> - Image and Video Analytics. Hands-on skills in machine learning, deep learning, statistical algorithms, <b>data</b> mining, <b>data</b> structures, and…",http://www.indeed.com/viewjob?jk=36a690d7ddf72a1a&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",36a690d7ddf72a1a,False,False,False,"Longmont, CO 80503",2 days ago,
585,SR DATA SCIENTIST,CenturyLink,Broomfield,CO,US,en,"Broomfield, CO",CenturyLink,"Thu, 09 Jan 2020 02:11:09 GMT","This <b>Data</b> <b>Scientist</b> role is within the Black Lotus Labs Threat Research Team. The <b>Data</b> <b>Scientist</b> is responsible for developing tools to collect, clean, analyze…",http://www.indeed.com/viewjob?jk=06a9ec8bd2fe8adc&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",06a9ec8bd2fe8adc,False,False,False,"Broomfield, CO 80021",2 days ago,
586,Data Scientist (HDF & NiFi) (TS),BCMC,Sterling,VA,US,en,"Sterling, VA",BCMC,"Wed, 08 Jan 2020 23:26:57 GMT","At least 7 years of experience as a <b>data</b> <b>scientist</b>. Stay current on new <b>data</b> <b>science</b> methods, technologies, and industry trends.",http://www.indeed.com/viewjob?jk=08b11d549431dbff&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",08b11d549431dbff,False,False,True,"Sterling, VA",2 days ago,
587,Data Scientist Sr,"Anthem, Inc.",,,US,en,United States,"Anthem, Inc.","Wed, 08 Jan 2020 17:50:47 GMT",Lead and mentor less <b>Data</b> <b>Scientist</b> team. Experience leading end-to-end <b>data</b> <b>science</b> project implementation. Work with data-sets of varying degrees of size and…,http://www.indeed.com/viewjob?jk=e6c8e8cb3eb57632&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",e6c8e8cb3eb57632,False,False,False,United States,2 days ago,
588,Data Scientist (Consultant)/Data Analyst /Python,Numerodata LLC,Herndon,VA,US,en,"Herndon, VA",Indeed,"Thu, 09 Jan 2020 14:14:07 GMT","Familiarity with programming for <b>data</b> analysis; Ideal candidate should have a degree in a quantitative field (e.g., mathematics, computer <b>science</b>, physics,…",http://www.indeed.com/viewjob?jk=11b1b122a7707739&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",11b1b122a7707739,False,False,True,"Herndon, VA 20170",2 days ago,
589,Data Analyst I,Saia Inc,Johns Creek,GA,US,en,"Johns Creek, GA",Indeed,"Wed, 08 Jan 2020 20:15:46 GMT","Experience performing business analysis or financial/statistical <b>data</b>. Financial analysis, <b>data</b> analysis, trend identification, as well as monitoring and…",http://www.indeed.com/viewjob?jk=7cabac345b7a44a2&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",7cabac345b7a44a2,False,False,True,"Johns Creek, GA 30097",2 days ago,
590,Data Scientist II,Centene Corporation,Arlington,VA,US,en,"Arlington, VA",Centene,"Thu, 09 Jan 2020 14:21:12 GMT",Responsible for advanced and predictive <b>data</b> analytics using big <b>data</b> and <b>data</b> <b>science</b> technology for healthcare innovation and outcomes.,http://www.indeed.com/viewjob?jk=2836870aed844902&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",2836870aed844902,False,False,False,"Arlington, VA",2 days ago,
591,Data Scientist II,Vanguard,Malvern,PA,US,en,"Malvern, PA",Vanguard,"Thu, 09 Jan 2020 00:30:50 GMT","You’ll collaborate with a high performing, cross-disciplinary team including advanced <b>data</b> analysts, <b>data</b> engineers, consultants, and market researchers—all…",http://www.indeed.com/viewjob?jk=10c51aad2c903bcf&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",10c51aad2c903bcf,False,False,False,"Malvern, PA",2 days ago,
592,Scientist Data Analyst,"Eurofins Lancaster Laboratories Professional Scientific Services, LLC",West Point,PA,US,en,"West Point, PA",Lancaster Laboratories,"Wed, 08 Jan 2020 22:39:20 GMT",Establish fit-for-purpose <b>data</b> acquisition and analysis pathway for all <b>data</b> nodes to enable better visibility and process understanding.,http://www.indeed.com/viewjob?jk=6b48b46ee969ced2&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",6b48b46ee969ced2,False,False,False,"West Point, PA",2 days ago,
593,Sr. Data Scientist,Western National Insurance Group,Edina,MN,US,en,"Edina, MN",Western National Insurance Group,"Thu, 09 Jan 2020 00:15:20 GMT",<b>Data</b> <b>Scientist</b> to join its growing <b>Data</b> <b>Science</b> team. 3+ years of <b>Data</b> Modeling or similar experience. Demonstrated experience working with large relational…,http://www.indeed.com/viewjob?jk=e90a4aa666d5ebab&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",e90a4aa666d5ebab,False,False,False,"Edina, MN",2 days ago,
594,Asset Management Data Curator (Librarian/Archivist),ALR Partners,Burbank,CA,US,en,"Burbank, CA",Indeed,"Wed, 08 Jan 2020 20:09:14 GMT",Responsible for <b>data</b> normalization and cleansing. Have experience with manual <b>data</b> cleanup projects. Strong database usage and ability to understand data…,http://www.indeed.com/viewjob?jk=f31c1365315ead86&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",f31c1365315ead86,False,False,True,"Burbank, CA",2 days ago,
595,Data Analyst,Park Community,Louisville,KY,US,en,"Louisville, KY",Park Community,"Wed, 08 Jan 2020 20:02:17 GMT","Advanced <b>Data</b> Analytics, Machine Learning, <b>Data</b> <b>Science</b>, Predictive Modeling, Forecasting, Outcomes Analysis, <b>Data</b> Warehousing and Visualization.",http://www.indeed.com/viewjob?jk=b7f4daf00a6f9a4e&qd=k09hdTEgY1fymxHYUFcMJdyxstXvaeFDt1e8R0qAkfBswMBAGIPe1x3O-R4vtBBb8pkDrlOi-KyA31r2XCp1PGvACSbcX8Zh6ERGsYtAgzHx8UQ9i_ooOvutXHXEV_suLnuhuey4P6FWSL3Jet1MBYjbttE5LecT2bawQhqRj7k&indpubnum=3622741264518966&atk=1duandr69hapg801,"indeed_clk(this,'6681');",b7f4daf00a6f9a4e,False,False,False,"Louisville, KY 40299",2 days ago,
